Model,title,rate,tags,company,Images 
Xperia XZ,Sony Xperia XZ preview,,"Sony,Android",Sony,https://cdn.gsmarena.com/imgroot/reviews/16/sony-xperia-xz/preview/lifestyle/-728w2/gsmarena_001.jpg
V20,LG V20 hands-on,,"LG,Android,Hands-on",LG,https://cdn.gsmarena.com/imgroot/reviews/16/lg-v20/hands-on/lifestyle/-728w2/gsmarena_002.jpg
Redmi Pro,Xiaomi Redmi Pro review,,"Xiaomi,Android",Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/16/xiaomi-redmi-pro/lifestyle/-728w2/gsmarena_002.jpg
iPhone 7,Apple iPhone 7 review,4.1,"Apple,iOS",Apple,"https://cdn.gsmarena.com/imgroot/reviews/16/apple-iphone-7/lifestyle/-728w2/gsmarena_010.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/apple-iphone-7/ofic/-728w3/gsmarena_001.jpg"
V20,LG V20 review,4.6,"LG,Android",LG,https://cdn.gsmarena.com/imgroot/reviews/16/lg-v20/review/lifestyle/-728w2/gsmarena_001.jpg
Xperia XZ,Sony Xperia XZ review,3.9,"Sony,Android",Sony,https://cdn.gsmarena.com/imgroot/reviews/16/sony-xperia-xz/review/lifestyle/-728w2/gsmarena_003.jpg
Galaxy C5,Samsung Galaxy C5 review,2.8,"Samsung,Android",Samsung,https://cdn.gsmarena.com/imgroot/reviews/16/samsung-galaxy-c5/lifestyle/-728w2/gsmarena_003.jpg
nova,Huawei nova review,,"Huawei,Android,Dual SIM",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/16/huawei-nova/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/huawei-nova/ofic/-728w3/gsmarena_001.jpg"
Phab2 Pro,Lenovo Phab2 Pro review ,,"Lenovo,Android,Dual SIM",Lenovo,https://cdn.gsmarena.com/imgroot/reviews/16/lenovo-phab2-pro/lifestyle/-728w2/gsmarena_001.jpg
Zenfone 3 ZE552KL,Asus Zenfone 3 ZE552KL preview,,"Asus,Android",Asus,https://cdn.gsmarena.com/imgroot/reviews/16/asus-zenfone-3-ze552kl/preview//inline/-728w2/gsmarena_002.jpg
Pixel,Google Pixel and Pixel XL hands-on,,"Google,HTC,Android",Google,"https://cdn.gsmarena.com/imgroot/reviews/16/pixel-xl/inline/-728/gsmarena_100.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/pixel-xl/inline/-728/gsmarena_001.jpg"
Galaxy J7 (2016),Samsung Galaxy J7 (2016) review,,"Samsung,Android",Samsung,https://cdn.gsmarena.com/imgroot/reviews/16/samsung-galaxy-j7-2016//lifestyle/-728w2/gsmarena_001.jpg
Xperia XA,Sony Xperia XA review,,"Sony,Android",Sony,https://cdn.gsmarena.com/imgroot/reviews/16/sony-xperia-xa/lifestyle/-728w2/gsmarena_009.jpg
OnePlus 3,OnePlus 3 review,4.3,"OnePlus,Android",OnePlus,https://cdn.gsmarena.com/imgroot/reviews/16/oneplus-3/lifestyle/-728w2/gsmarena_006.jpg
Moto G4,Moto G4 review,,"Lenovo,Motorola,Android",Lenovo,https://cdn.gsmarena.com/imgroot/reviews/16/motorola-moto-g4/lifestyle/-728w2/gsmarena_002.jpg
Xplay5 Elite,vivo Xplay5 Elite review,,"Vivo,Android",Vivo,https://cdn.gsmarena.com/imgroot/reviews/16/vivo-xplay5-elite/lifestyle/-728w2/gsmarena_001.jpg
Galaxy S7 active,Samsung Galaxy S7 Active review,,"Samsung,Android",Samsung,https://cdn.gsmarena.com/imgroot/reviews/16/samsung-galaxy-s7-active/lifestyle/-728w2/gsmarena_002.jpg
OnePlus 3,OnePlus 3 review,,"OnePlus,Android,Time-saver",OnePlus,"https://cdn.gsmarena.com/imgroot/reviews/16/oneplus-3/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/oneplus-3/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/oneplus-3/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/oneplus-3/lifestyle/-728w2/gsmarena_006.jpg"
P9 lite,Huawei P9 lite review,,"Huawei,Android",Huawei,https://cdn.gsmarena.com/imgroot/reviews/16/huawei-p9-lite/lifestyle/-728w2/gsmarena_001.jpg
Galaxy J2 (2016),Samsung Galaxy J2 (2016) preview,,"Samsung,Android,Preview",Samsung,
Xperia E5,Sony Xperia E5 review,,"Sony,Android",Sony,https://cdn.gsmarena.com/imgroot/reviews/16/sony-xperia-e5//lifestyle/-728w2/gsmarena_003.jpg
Zmax Pro,ZTE Zmax Pro hands-on,,"ZTE,Android,Metro PCS",ZTE,https://cdn.gsmarena.com/imgroot/reviews/16/zte-zmax-pro-hands-on/inline/-728/gsmarena_011.jpg
Galaxy J3 (2016),Samsung Galaxy J3 (2016) review,,"Samsung,Android",Samsung,https://cdn.gsmarena.com/imgroot/reviews/16/samsung-galaxy-j3-2016/lifestyle/-728w2/gsmarena_005.jpg
,Moto Z Force Droid Edition hands-on,,"Lenovo,Motorola,Android,Preview",Lenovo,https://cdn.gsmarena.com/imgroot/reviews/16/moto-z-droid-edition/inline/-668/gsmarena_001.jpg
Idol 4s,Alcatel Idol 4s review,,"Alcatel,Android",Alcatel,https://cdn.gsmarena.com/imgroot/reviews/16/alcatel-idol-4s/lifestyle/-728w2/gsmarena_300.jpg
Xperia XA Ultra,Sony Xperia XA Ultra review,,"Sony,Android",Sony,
iPhone SE,Apple iPhone SE review,3.7,"Apple,iOS",Apple,"https://cdn.gsmarena.com/imgroot/reviews/16/apple-iphone-se/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/apple-iphone-se/ofic/-728w3/gsmarena_001.jpg"
Mi 5,Xiaomi Mi 5 review,,"Xiaomi,Android,Time-saver",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/16/xiaomi-mi-5/micro/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/xiaomi-mi-5/battery/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/xiaomi-mi-5/lifestyle/-728w2/gsmarena_003.jpg"
iPhone SE,Apple iPhone SE,,"Apple,iOS",Apple,"https://cdn.gsmarena.com/imgroot/reviews/16/apple-iphone-se/lifestyle/-728w2/gsmarena_010.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/apple-iphone-se/lifestyle/-728w2/gsmarena_003.jpg"
Huawei P9,Huawei P9 review,,"Huawei,Android",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/16/huawei-p9/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/huawei-p9/ofic/-728w3/gsmarena_001.jpg"
Xperia X,Sony Xperia X hands-on,,"Sony,Android",Sony,https://cdn.gsmarena.com/imgroot/reviews/16/sony-xperia-x-handson/lifestyle/-728w2/gsmarena_009.jpg
HTC 10,HTC 10 hands-on,,"HTC,Android",HTC,
,Smartphone buyer's guide,,"Android,iOS,Windows 10,Tizen",Android,https://cdn.gsmarena.com/imgroot/reviews/16/buyers-guide-april-2016/-728w2/gsmarena_009.jpg
F1 Plus,Oppo F1 Plus review,,"Oppo,Android",Oppo,https://cdn.gsmarena.com/imgroot/reviews/16/oppo-f1-plus/lifestyle/-728w2/gsmarena_101.jpg
Vibe K5 Plus,Lenovo Vibe K5 Plus review,,"Lenovo,Android",Lenovo,https://cdn.gsmarena.com/imgroot/reviews/16/lenovo-vibe-k5-plus/lifestyle/-728w2/gsmarena_002.jpg
LG G5,LG G5 Friends review,,"LG,Android,Misc",LG,"https://cdn.gsmarena.com/imgroot/reviews/16/lg-friends/lifestyle/-728w2/gsmarena_014.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/lg-friends/ofic/-728w3/gsmarena_004.jpg"
V3Max,Vivo V3Max review,,"vivo,Android",vivo,https://cdn.gsmarena.com/imgroot/reviews/16/vivo-v3max/lifestyle/-728w2/gsmarena_006.jpg
Moto X Force,Motorola Moto X Force review,,"Motorola,Android,Lenovo",Motorola,"https://cdn.gsmarena.com/imgroot/reviews/16/motorola-moto-x-force/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/motorola-moto-x-force/ofic/-728w3/gsmarena_001.jpg"
Galaxy S7,LG G5 vs Samsung Galaxy S7,,"LG,Samsung,Android,Shootout",LG,https://cdn.gsmarena.com/imgroot/reviews/16/lg-g5-vs-galaxy-s7/lifestyle/-728w2/gsmarena_004.jpg
HTC 10,HTC 10 review,4.4,"HTC,Android",HTC,https://cdn.gsmarena.com/imgroot/reviews/16/htc-10/review/inline/-728w2/gsmarena_010.jpg
HTC 10,HTC 10 vs. LG G5 vs. Samsung Galaxy S7,,"HTC,LG,Samsung,Android,Shootout",HTC,
LG G5,LG G5 vs G4 vs. iPhone 6s vs. GoPro,,"LG,Apple,Shootout,MWC 2016",LG,"https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-lg/shootout/inline/-728w3/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-lg/shootout/inline/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-lg/shootout/inline/-728w2/gsmarena_003.jpg"
Liquid Zest,Acer Liquid Jade 2 and Liquid Zest hands-on,,"Acer,Shootout,MWC 2016",Acer,
Galaxy S7 edge,Samsung Galaxy S7 edge hands-on,,"Samsung,Android,MWC 2016",Samsung,"https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-samsung/s7-edge-day/lifestyle/-728w2/gsmarena_006.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-samsung/s7-edge-day/lifestyle/-728w2/gsmarena_007.jpg"
LG G5,LG G5 vs. Samsung Galaxy S7 edge,,"LG,Samsung,Android,Shootout,MWC 2016",LG,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-lg-g5-vs-s7-edge/inline/-728w2/gsmarena_002.jpg
Redmi Note 3,Xiaomi Redmi Note 3 hands-on,,"Xiaomi,Android,Dual SIM",Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/16/xiaomi-redmi-note-3-snapdragon/lifestyle/-728w2/gsmarena_001.jpg
Mi 5,Xiaomi Mi 5 hands-on,,"Xiaomi,Android,MWC 2016",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-xiaomi/xiaomi-mi-5/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-xiaomi/xiaomi-mi-5/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-xiaomi/xiaomi-mi-5/lifestyle/-728w2/gsmarena_006.jpg"
,Zopo Speed 8 hands-on,,"ZOPO,Android,MWC 2016",ZOPO,"https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-zopo/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-zopo/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-zopo/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-zopo/lifestyle/-728w2/gsmarena_001.jpg"
,Wiko Fever Special Edition hands-on,,"Wiko,Android,MWC 2016",Wiko,"https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-wiko/inline/-728/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/mwc2016-wiko/inline/-728/gsmarena_015.jpg"
,Introducing our new time-saver review format,,Misc,Misc,
Mate 8,Huawei Mate 8 review,,"Huawei,Android,Time-saver",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/16/huawei-mate-8/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/huawei-mate-8/micro/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/huawei-mate-8/battery/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/huawei-mate-8//lifestyle/-728w2/gsmarena_002.jpg"
Lumia 950 XL,Microsoft Lumia 950XL review,,"Microsoft,Windows Phone,Time-saver",Microsoft,"https://cdn.gsmarena.com/imgroot/reviews/15/microsoft-lumia-950-xl/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/microsoft-lumia-950-xl/micro/-728x314/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/microsoft-lumia-950-xl/lifestyle/-728w2/gsmarena_006.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/microsoft-lumia-950-xl/battery/-728x314/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/microsoft-lumia-950-xl/lifestyle/-728w2/gsmarena_002.jpg"
iPhone 6s,Apple iPhone 6s review,,"Apple,iOS,Time-saver",Apple,"https://cdn.gsmarena.com/imgroot/reviews/15/apple-iphone-6s/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/apple-iphone-6s/micro/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/apple-iphone-6s/lifestyle/-728w2/gsmarena_005.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/apple-iphone-6s/lifestyle/-728w2/gsmarena_006.jpg"
Galaxy Note5,Samsung Galaxy Note5 review,,"Samsung,Android,Time-saver",Samsung,"https://cdn.gsmarena.com/imgroot/reviews/15/samsung-galaxy-note5/lifestyle/-728w2/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/samsung-galaxy-note5/micro/-728x314/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/samsung-galaxy-note5/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/samsung-galaxy-note5/lifestyle/-728w2/gsmarena_009.jpg"
V10,LG V10 review,,"LG,Android,Time-saver",LG,"https://cdn.gsmarena.com/imgroot/reviews/15/lg-v10//lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/lg-v10//inline/-728/micro.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/lg-v10/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/lg-v10//lifestyle/-728w2/gsmarena_003.jpg"
Moto X Play,Motorola Moto X Play review,,"Motorola,Android,Time-saver",Motorola,"https://cdn.gsmarena.com/imgroot/reviews/15/motorola-moto-x-play/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/motorola-moto-x-play//micro/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/motorola-moto-x-play//lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/motorola-moto-x-play//lifestyle/-728w2/gsmarena_003.jpg"
K10,LG K10 and LG K7 hands-on,,"LG,Android",LG,https://cdn.gsmarena.com/imgroot/reviews/16/ces2016-lg/inline/-728/gsmarena_001.jpg
Nexus 6P,Nexus 6P vs. LG V10 vs. Galaxy Note5,,"Android,Huawei,LG,Samsung,Meizu,Shootout",Android,
Nexus 6P,Nexus 6P vs. LG V10 vs. Galaxy Note5,,"Android,Huawei,LG,Samsung",Android,https://cdn.gsmarena.com/imgroot/reviews/16/note5-v10-nexus6p-vs/lifestyle/-728w2/gsmarena_002.jpg
Galaxy S7,Samsung Galaxy S7 review,4.6,"Samsung,Android",Samsung,
Lumia 950 XL,Lumia 950 XL vs. LG V10 vs. Galaxy Note5 vs. iPhone 6s Plus,,"Apple,Microsoft,Samsung,LG",Apple,
,Galaxy Note 5 vs. iPhone 6s Plus vs. LG V10,,"Apple,Huawei,LG,Meizu,Samsung",Apple,"https://cdn.gsmarena.com/imgroot/reviews/16/snow-shootout/lifestyle/-728w2/gsmarena_010.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/snow-shootout/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/snow-shootout/lifestyle/-728w2/gsmarena_005.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/snow-shootout/lifestyle/-728w2/gsmarena_006.jpg"
,iPhone 6s Plus vs. Lumia 950 XL vs. Galaxy Note5,,"Apple,Microsoft,Samsung",Apple,https://cdn.gsmarena.com/imgroot/reviews/16/6splus-950xl-note5-vs/lifestyle/-728w2/gsmarena_002.jpg
Mate 8,Huawei Mate 8 review,4.0,"Huawei,Android",Huawei,https://cdn.gsmarena.com/imgroot/reviews/16/huawei-mate-8/lifestyle/-728w2/gsmarena_001.jpg
Redmi 3,Xiaomi Redmi 3 review,,"Xiaomi,Android,Dual SIM",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/16/xiaomi-redmi-3/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/16/xiaomi-redmi-3/ofic/-728/gsmarena_001.jpg"
Galaxy A5 (2016),Samsung Galaxy A5 (2016) review,,"Samsung,Android,Dual SIM",Samsung,https://cdn.gsmarena.com/imgroot/reviews/16/samsung-galaxy-a5-2016/lifestyle/-728w2/gsmarena_009.jpg
Oppo F1,Oppo F1 review,,"Oppo,Android,Dual SIM",Oppo,https://cdn.gsmarena.com/imgroot/reviews/16/oppo-f1/lifestyle/-728w2/gsmarena_001.jpg
Galaxy A7 (2016),Samsung Galaxy A7 (2016) review,,"Samsung,Android,Dual SIM",Samsung,https://cdn.gsmarena.com/imgroot/reviews/16/samsung-galaxy-a7-2016/lifestyle/-728w2/gsmarena_004.jpg
Galaxy A9 (2016),Samsung Galaxy A9 (2016) review,,"Samsung,Android",Samsung,
Vibe X3,Lenovo Vibe X3 hands-on,,"Lenovo,Android,Dual SIM",Lenovo,https://cdn.gsmarena.com/imgroot/reviews/16/lenovo-vibe-x3/hands-on//lifestyle/-728w2/gsmarena_001.jpg
Honor 5X,Huawei Honor 5X review,,"Android,Huawei,Honor,DualSIM",Android,
,LeTV (LeEco) Le 1s hands-on,,"LeTV,Android",LeTV,https://cdn.gsmarena.com/imgroot/reviews/16/letv-le-1s/preview//lifestyle/-728w2/gsmarena_001.jpg
Galaxy S6,iPhone 6s vs. Galaxy S6 vs. Xperia Z5,,"Apple,Samsung,Sony",Apple,https://cdn.gsmarena.com/imgroot/reviews/15/iphone-6s-galaxy-s6-xperia-z5/vs/lifestyle/-728w2/gsmarena_003.jpg
OnePlus X,OnePlus X hands-on,,"OnePlus,Android",OnePlus,https://cdn.gsmarena.com/imgroot/reviews/15/one-plus-x-handson/inline/-728/gsmarena_008.jpg
One A9,HTC One A9 review,,"HTC,Android",HTC,"https://cdn.gsmarena.com/imgroot/reviews/15/htc-one-a9/review/ofic/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/htc-one-a9/review/ofic/-728/gsmarena_002.jpg"
V10,LG V10 review,4.2,"LG,Android",LG,https://cdn.gsmarena.com/imgroot/reviews/15/lg-v10/lifestyle/-728w2/gsmarena_004.jpg
Zenfone Selfie ZD551KL,Asus Zenfone Selfie review,,"Asus,Android",Asus,https://cdn.gsmarena.com/imgroot/reviews/15/asus-zenfone-selfie-zd551kl//lifestyle/-728w2/gsmarena_002.jpg
Gear S2 classic,Samsung Gear S2 review,,"Samsung,Smartwatches,Tizen",Samsung,"https://cdn.gsmarena.com/imgroot/reviews/15/samsung-gear-s2/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/samsung-gear-s2/inline/-728/gsmarena_006.jpg"
PRO 5,Meizu Pro 5 review,,"Meizu,Android,Dual SIM",Meizu,"https://cdn.gsmarena.com/imgroot/reviews/15/meizu-pro-5/review/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/meizu-pro-5/review/ofic/-728/gsmarena_001.jpg"
OnePlus X,OnePlus X review,,"OnePlus,Android,Dual SIM",OnePlus,
Nexus 5X,LG Nexus 5X review,,"Google,LG,Android",Google,https://cdn.gsmarena.com/imgroot/reviews/15/lg-nexus-5x/lifestyle/-728w2/gsmarena_006.jpg
Mate S,Huawei Mate S review,,"Huawei,Android",Huawei,https://cdn.gsmarena.com/imgroot/reviews/15/huawei-mate-s/lifestyle/-728w2/gsmarena_001.jpg
Watch,Huawei Watch review,,"Huawei,Smartwatches,Android Wear",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/15/huawei-watch/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/huawei-watch/inline/-728w3/gsmarena_001.jpg"
Xperia Z5 Premium,Sony Xperia Z5 Premium screen test,,"Sony,Android",Sony,"https://cdn.gsmarena.com/imgroot/news/15/11/xperia-z5-premium-test/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/news/15/11/xperia-z5-premium-test/lifestyle/-728w2/gsmarena_002.jpg"
Xperia Z5 Premium,Sony Xperia Z5 Premium review,,"Sony,Android",Sony,https://cdn.gsmarena.com/imgroot/reviews/15/sony-xperia-z5-premium/ofic/-728/gsmarena_001.jpg
M1 Metal,Meizu m1 metal review,,"Meizu,Android,Dual SIM",Meizu,"https://cdn.gsmarena.com/imgroot/reviews/15/meizu-m1-metal/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/meizu-m1-metal/ofic/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/meizu-m1-metal/ofic/-728/gsmarena_002.jpg"
,GSMArena smartphone buyer's guide,,"Android,iOS,Windows Mobile",Android,https://cdn.gsmarena.com/imgroot/reviews/15/shopping-guide-nov-2015/inline/-728w1/gsmarena_004.jpg
iPad Pro 12.9 (2015),Apple iPad Pro review,,"Apple,iOS",Apple,https://cdn.gsmarena.com/imgroot/reviews/15/apple-ipad-pro/lifestyle/-728w2/gsmarena_003.jpg
nubia Z9 mini,ZTE Nubia Z9 mini review,,"ZTE,Android",ZTE,https://cdn.gsmarena.com/imgroot/reviews/15/zte-nubia-z9-mini/lifestyle/-728w2/gsmarena_004.jpg
Gear S2 3G,Samsung Gear S2 and S2 classic hands-on,,"Samsung,Tizen,IFA 2015",Samsung,https://cdn.gsmarena.com/imgroot/reviews/15/ifa-2015-samsung//inline/-728w2/gsmarena_002.jpg
Xperia Z5 Premium,"Sony Xperia Z5, Z5 Compact and Z5 Premium hands-on",,"Sony,Android,IFA 2015",Sony,https://cdn.gsmarena.com/imgroot/reviews/15/sony-xperia-z5/hands-on/lifestyle/-728w2/gsmarena_003.jpg
X5Pro,Vivo X5Pro review,,"vivo,Android",vivo,https://cdn.gsmarena.com/imgroot/reviews/15/vivo-x5pro/lifestyle/-728w2/gsmarena_002.jpg
R7 Plus,Oppo R7 Plus review,,"Oppo,Android",Oppo,https://cdn.gsmarena.com/imgroot/reviews/15/oppo-r7-plus/lifestyle/-728w2/gsmarena_002.jpg
Xperia M5,Sony Xperia M5 review,,"Sony,Android",Sony,https://cdn.gsmarena.com/imgroot/reviews/15/sony-xperia-m5-dual/lifestyle/-728w2/gsmarena_001.jpg
Galaxy J5,Samsung Galaxy J5 preview,,"Samsung,Android",Samsung,
Galaxy J7,Samsung Galaxy J7 review,,"Samsung,Android,Dual SIM",Samsung,https://cdn.gsmarena.com/imgroot/reviews/15/samsung-galaxy-j7/lifestyle/-728w2/gsmarena_004.jpg
PRO 5,Meizu Pro 5 hands-on,,"Meizu,Android",Meizu,"https://cdn.gsmarena.com/imgroot/reviews/15/meizu-pro-5/inline/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/news/15/09/meizu-pro-5-official/inline/-728/gsmarena_001.jpg"
Moto X Style,Moto X Style (Pure Edition) review,,"Motorola,Android",Motorola,https://cdn.gsmarena.com/imgroot/reviews/15/moto-x-pure-edition/lifestyle/-728w2/gsmarena_004.jpg
Xperia C5 Ultra,Sony Xperia C5 Ultra review,,"Sony,Android,Dual SIM",Sony,"https://cdn.gsmarena.com/imgroot/reviews/15/sony-xperia-c5-ultra/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/sony-xperia-c5-ultra/ofic/-728/gsmarena_001.jpg"
iPhone 6s,Apple iPhone 6s review,4.0,"Apple,iOS",Apple,"https://cdn.gsmarena.com/imgroot/reviews/15/apple-iphone-6s/lifestyle/-728w2/gsmarena_007.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/apple-iphone-6s/ofic/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/apple-iphone-6s/ofic/-728/gsmarena_002.jpg"
,Amazon Kindle Fire HD hands-on,,"Amazon,Android,Hands-on",Amazon,
Nexus 5X,Nexus 5X and Nexus 6P hands-on,,"LG,Huawei,Android",LG,https://cdn.gsmarena.com/imgroot/reviews/15/nexus-5x-6p-handson/-728/gsmarena_003.jpg
Redmi Note 2,Xiaomi Redmi Note 2 review,,"Xiaomi,Android,Dual SIM",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/15/xiaomi-redmi-note-2/lifestyle/-728w2/gsmarena_011.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/xiaomi-redmi-note-2/ofic/-728/gsmarena_001.jpg"
V10,LG V10 and Watch Urbane 2nd edition,,"LG,Android,Android Wear,Wearables",LG,"https://cdn.gsmarena.com/imgroot/reviews/15/lg-v10-urbane-2/-728w1/gsmarena_012.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/lg-v10-urbane-2/-728w1/gsmarena_011.jpg"
One E9+,HTC One E9+ review,,"HTC,Android",HTC,
Oppo R7,Oppo R7 review,,"Oppo,Android",Oppo,
,GSMArena smartphone buyer's guide,,"Android,Windows,iOS,BlackBerry,Firefox",Android,
Leap,BlackBerry Leap review,,BlackBerry,BlackBerry,https://cdn.gsmarena.com/imgroot/reviews/15/blackberry-leap/lifestyle/-728w2/gsmarena_003.jpg
,The GSMArena tablet buyer's guide,,"iOS,Android,Samsung,HTC,Asus,Lenovo,Nokia,Apple,Dell,Huawei",iOS,
X5Max,Vivo X5Max review,,"Vivo,Android",Vivo,https://cdn.gsmarena.com/imgroot/reviews/15/vivo-x5max/lifestyle/-728w2/gsmarena_002.jpg
Xperia C4 Dual,Sony Xperia C4 Dual review,,Sony,Sony,https://cdn.gsmarena.com/imgroot/reviews/15/sony-xperia-c4/lifestyle/-728w2/gsmarena_001.jpg
OnePlus 2,OnePlus 2 hands-on,,"OnePlus,Android",OnePlus,
Moto G (3rd gen),Moto X Style and Moto G (3rd gen) hands-on,,"Motorola,Android",Motorola,"https://cdn.gsmarena.com/imgroot/reviews/15/moto-x-moto-g-3-event/moto-g-3/offic/-728/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/moto-x-moto-g-3-event/moto-x-style/offic/-728/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/moto-x-moto-g-3-event/moto-x-play/offic/-728/gsmarena_002.jpg"
Honor 7,Huawei Honor 7 review,,"Huawei,Android",Huawei,
Axon Pro,ZTE Axon Pro review,,"ZTE,Android",ZTE,https://cdn.gsmarena.com/imgroot/reviews/15/zte-axon-pro//lifestyle/-728w2/gsmarena_001.jpg
Moto G (3rd gen),Moto G (3rd gen) review,,"Motorola,Android",Motorola,"https://cdn.gsmarena.com/imgroot/reviews/15/moto-g-3/review/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/15/moto-g-3/review/offic/-728w3/gsmarena_001.jpg"
