,Name,Short description,Description,tags,Categories,Images,ID
147,Oppo F3 Plus,Oppo F3 Plus review,,"Oppo,Android,Dual SIM",android > Oppo,https://cdn.gsmarena.com/imgroot/reviews/17/oppo-f3-plus/lifestyle/-728w2/gsmarena_005.jpg,148
148,Sony Xperia XA1,Sony Xperia XA1 review,,"Sony,Android",android > Sony,,149
149,Samsung Galaxy C7 Pro,Samsung Galaxy C7 Pro preview,,"Samsung,Android",android > Samsung,https://cdn.gsmarena.com/imgroot/reviews/17/samsung-galaxy-c7-pro/inline/-728/gsmarena_001.jpg,150
150,Oppo Oppo F3,Oppo F3 review,,"Oppo,Android",android > Oppo,https://cdn.gsmarena.com/imgroot/reviews/17/oppo-f3/lifestyle/-728w2/gsmarena_006.jpg,151
151,Sony Xperia XZ Premium,Sony Xperia XZ Premium review,4.2,"Sony,Android",android > Sony,https://cdn.gsmarena.com/imgroot/reviews/17/sony-xperia-xz-premium/ofic/-728w3/gsmarena_001.jpg,152
152,HTC U11,HTC U11 hands-on,,"HTC,Android",android > HTC,https://cdn.gsmarena.com/imgroot/reviews/17/htc-u-11-hands-on/inline/-728w2/gsmarena_011.jpg,153
155,Motorola Moto G5 Plus,Moto G5 Plus preview,,"Motorola,Android",android > Motorola,https://cdn.gsmarena.com/imgroot/reviews/17/moto-g5-plus/preview/inline/-728w2/gsmarena_001.jpg,156
156,Xiaomi Mi 6,Xiaomi Mi 6 review,4.6,"Xiaomi,Android,Dual SIM",android > Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/17/xiaomi-mi-6/ofic/-728w3/gsmarena_001.jpg,157
157,HTC Galaxy S8+,HTC U11 vs. Samsung Galaxy S8+,,"HTC,Samsung,Android,Shootout",android > HTC,https://cdn.gsmarena.com/imgroot/reviews/17/htc-u11-galaxy-s8plus/lifestyle/-728w2/gsmarena_006.jpg,158
158,Huawei P10 Lite,Huawei P10 Lite review,,"Huawei,Android,Dual SIM",android > Huawei,"https://cdn.gsmarena.com/imgroot/reviews/17/huawei-p10-lite/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-p10-lite/ofic/-728/gsmarena_001.jpg",159
159,TCL Keyone,BlackBerry KEYone review,,"TCL,BlackBerry,Android",android > TCL,https://cdn.gsmarena.com/imgroot/reviews/17/blackberry-keyone/lifestyle/-728w2/gsmarena_001.jpg,160
160,Sony Xperia XA1 Ultra,Sony Xperia XA1 Ultra review,,"Sony,Android",android > Sony,,161
161,Xiaomi Redmi 4A,Xiaomi Redmi 4a review,,"Xiaomi,Android",android > Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/17/xiaomi-redmi-4a/lifestyle/-728w2/gsmarena_002.jpg,162
162,HTC U11,HTC U11 review,4.5,"HTC,Android",android > HTC,,163
163,BlackBerry Keyone,BlackBerry KEYone hands-on,,"BlackBerry,Android,MWC2017",android > BlackBerry,https://cdn.gsmarena.com/imgroot/reviews/17/blackberry-keyone-hands-on/lifestyle/-728w2/gsmarena_034.jpg,164
164,Vivo vivo V5,vivo V5 review,,"Vivo,Android,Dual SIM",android > Vivo,"https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v5/lifestyle/-728w2/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v5/ofic/-728/gsmarena_001.jpg",165
165,LG LG G6,LG G6 hands-on,,"LG,Android,MWC2017",android > LG,https://cdn.gsmarena.com/imgroot/reviews/17/lg-g6-hands-on/inline/-728w2/gsmarena_052.jpg,166
166,Huawei P10,"Huawei P10, P10 Plus, Watch 2 hands-on",,"Huawei,Android,MWC2017",android > Huawei,"https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mwc-hands-on/lifestyle/-728w2/gsmarena_005.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mwc-hands-on/ofic/-728w3/gsmarena_001.jpg",167
167,Nokia Nokia 6,"Nokia 6, 5, 3 and 3310 hands-on",,"Nokia,Android,MWC2017",android > Nokia,https://cdn.gsmarena.com/imgroot/reviews/17/mwc-2017-nokia/inline/-728w2/gsmarena_001.jpg,168
168,Sony Xperia XZ Premium,"Sony Xperia XZ Premium, XZs, XA1 Ultra, and XA1",,"Sony,Android,MWC2017",android > Sony,,169
