,Model,title,rate,tags,company,Images
54,Mi A2 (Mi 6X),Xiaomi Mi A2 and Mi A2 Lite hands-on review,,"Xiaomi,Android,Hands-on",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/18/xiomi-mi-a2-a2-lite-handson/lifestyle/-728w2/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/xiomi-mi-a2-a2-lite-handson/lifestyle/-728w2/gsmarena_053.jpg"
55,3.1,Nokia 3.1 review,2.4,"Nokia,HMD,Android",Nokia,"https://cdn.gsmarena.com/imgroot/reviews/18/nokia-31/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/nokia-31/lifestyle/-728w2/gsmarena_001.jpg"
56,Xperia XZ2 Premium,Sony Xperia XZ2 Premium hands-on review,,"Sony,Android,Preview",Sony,https://cdn.gsmarena.com/imgroot/reviews/18/sony-xperia-xz2-premium/preview/lifestyle/-728w2/gsmarena_008.jpg
57,Mi 8 SE,Xiaomi Mi 8 SE review,3.9,"Xiaomi,Android",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-8-se/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-8-se/lifestyle/-728w2/gsmarena_013.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-8-se/lifestyle/-728w2/gsmarena_005.jpg"
58,Galaxy Tab S4 10.5,Samsung Galaxy Tab S4 10.5 hands-on review,,"Samsung,Android,Tablets",Samsung,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-tab-s4-105/handson/inline/-728w2/gsmarena_008.jpg
59,Mi A2 (Mi 6X),Xiaomi Mi A2 review,3.5,"Xiaomi,Android,Dual SIM",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-a2/lifestyle/-728w2/gsmarena_006.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-a2/lifestyle/-728w2/gsmarena_001.jpg"
60,Moto Z3,Motorola Moto Z3 hands-on review,,"Motorola,Moto,Lenovo",Motorola,"https://cdn.gsmarena.com/imgroot/reviews/18/moto-z3/hands-on/lifestyle/-728w2/gsmarena_009.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/moto-z3/hands-on/lifestyle/-728w2/gsmarena_012.jpg"
61,8110 4G,Nokia 8110 4G review,,"Nokia,HMD,Dual SIM",Nokia,"https://cdn.gsmarena.com/imgroot/reviews/18/nokia-8110-4g/lifestyle/-728w2/gsmarena_005.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/nokia-8110-4g/lifestyle/-728w2/gsmarena_001.jpg"
63,Find X,Oppo Find X review,4.5,"Oppo,Android",Oppo,"https://cdn.gsmarena.com/imgroot/reviews/18/oppo-find-x/lifestyle/-728w2/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/oppo-find-x/lifestyle/-728w2/gsmarena_030.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/oppo-find-x/lifestyle/-728w2/gsmarena_001.jpg"
64,Mi A2 Lite (Redmi 6 Pro),Xiaomi Mi A2 Lite review,3.7,"Xiaomi,Android",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-a2-lite/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-a2-lite/lifestyle/-728w2/gsmarena_007.jpg"
65,Galaxy Note9,Samsung Galaxy Note9 hands-on review,,"Samsung,Android",Samsung,"https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-note9/hands-on/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-note9/hands-on/lifestyle/-728w2/gsmarena_001.jpg"
66,P20 Pro,Huawei P20 Pro vs. Samsung Galaxy S9+,,"Huawei,Samsung,Android,Shootout",Huawei,https://cdn.gsmarena.com/imgroot/reviews/18/huawei-p20-pro-vs-samsung-galaxy-s9-plus/lifestyle/-728w2/gsmarena_004.jpg
67,V30S ThinQ,LG V30S ThinQ long-term review,,"LG,Android,Long-term",LG,https://cdn.gsmarena.com/imgroot/reviews/18/lg-v30s-thinq-long-term/lifestyle/-728w2/gsmarena_008.jpg
68,G7 ThinQ,LG G7 ThinQ hands-on review,,"LG,Android,Hands-on",LG,"https://cdn.gsmarena.com/imgroot/reviews/18/lg-g7-thinq-hands-on/lifestyle/-728w2/gsmarena_026.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/lg-g7-thinq-hands-on/lifestyle/-728w2/gsmarena_025.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/lg-g7-thinq-hands-on/lifestyle/-728w2/gsmarena_029.jpg"
69,Zenfone Max Pro (M1) ZB601KL,Asus Zenfone Max Pro M1 hands-on review,,"Asus,Android",Asus,"https://cdn.gsmarena.com/imgroot/reviews/18/asus-zenfone-max-pro/inline/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/asus-zenfone-max-pro/inline/-728w2/gsmarena_002.jpg"
71,Mi Mix 2S,Xiaomi Mi Mix 2S review,,"Xiaomi,Android",Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-mix-2s/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-mix-2s/lifestyle/-728w2/gsmarena_010.jpg"
